Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90,HomeWinRate,AwayWinRate,HomeGoalsPerMatch,AwayGoalsPerMatch,HomeGoalsConcededPerMatch,AwayGoalsConcededPerMatch,HomePointsPerMatch,AwayPointsPerMatch,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,OverallWinRate,OverallGoalsPerMatch,OverallGoalsConcededPerMatch,OverallPointsPerMatch,HomeAwayWinRateDiff,HomeAwayGoalsScoredDiff,HomeAwayGoalsConcededDiff,HomeAwayPointsDiff,Poss,PrgC,PrgP,Sh,SoT,SoT%,Succ,Touches,Att 3rd,Att Pen,Live
2024-2025,6,Nott'ham Forest,16,9,4,3,24,11,13,31,1.94,19.5,16.4,3.1,0.19,16,8,2,6,27,27,0,26,1.63,19.5,23.5,-4.0,-0.25,0.5625,0.5,1.5,1.6875,0.6875,1.6875,1.9375,1.625,32,17,6,9,51,38,13,57,0.53125,1.59375,1.1875,1.78125,0.0625,-0.1875,-1.0,0.3125,40.1,537,925,395,139,35.2,235,15760,4274,664,15757
2024-2025,7,Aston Villa,17,9,7,1,31,20,11,34,2.0,31.2,17.1,14.0,0.83,16,7,2,7,22,27,-5,23,1.44,19.4,26.6,-7.1,-0.45,0.5294117647058824,0.4375,1.8235294117647058,1.375,1.1764705882352942,1.6875,2.0,1.4375,33,16,9,8,53,47,6,57,0.48484848484848486,1.606060606060606,1.4242424242424243,1.7272727272727273,0.09191176470588236,0.44852941176470584,-0.5110294117647058,0.5625,51.4,633,1174,432,143,33.1,287,19201,4762,844,19196
2024-2025,8,Bournemouth,16,7,3,6,20,14,6,24,1.5,28.5,18.7,9.7,0.61,17,6,7,4,32,26,6,25,1.47,30.6,23.3,7.3,0.43,0.4375,0.35294117647058826,1.25,1.8823529411764706,0.875,1.5294117647058822,1.5,1.4705882352941178,33,13,10,10,52,40,12,49,0.3939393939393939,1.5757575757575757,1.2121212121212122,1.4848484848484849,0.08455882352941174,-0.6323529411764706,-0.6544117647058822,0.02941176470588225,48.0,660,1318,519,176,33.9,261,18753,5345,897,18746
2024-2025,9,Fulham,17,7,5,5,26,25,1,26,1.53,20.0,18.8,1.2,0.07,16,6,4,6,22,20,2,22,1.38,22.8,20.2,2.6,0.16,0.4117647058823529,0.375,1.5294117647058822,1.375,1.4705882352941178,1.25,1.5294117647058822,1.375,33,13,9,11,48,45,3,48,0.3939393939393939,1.4545454545454546,1.3636363636363635,1.4545454545454546,0.03676470588235292,0.15441176470588225,0.22058823529411775,0.15441176470588225,51.9,680,1338,432,143,33.1,257,20804,5380,809,20800
2024-2025,10,Brighton,16,6,7,3,23,21,2,25,1.56,26.3,19.5,6.8,0.42,17,6,5,6,30,32,-2,23,1.35,24.4,26.9,-2.4,-0.14,0.375,0.35294117647058826,1.4375,1.7647058823529411,1.3125,1.8823529411764706,1.5625,1.3529411764705883,33,12,12,9,53,53,0,48,0.36363636363636365,1.606060606060606,1.606060606060606,1.4545454545454546,0.022058823529411742,-0.3272058823529411,-0.5698529411764706,0.2095588235294117,52.5,696,1332,452,152,33.6,298,20600,5248,916,20595
2024-2025,11,Brentford,17,8,4,5,34,29,5,28,1.65,29.8,25.6,4.2,0.24,16,5,3,8,22,21,1,18,1.13,19.9,24.4,-4.6,-0.29,0.47058823529411764,0.3125,2.0,1.375,1.7058823529411764,1.3125,1.6470588235294117,1.125,33,13,7,13,56,50,6,46,0.3939393939393939,1.696969696969697,1.5151515151515151,1.393939393939394,0.15808823529411764,0.625,0.3933823529411764,0.5220588235294117,47.7,516,1180,373,148,39.7,227,18788,4621,857,18783
2024-2025,12,Crystal Palace,17,5,6,6,19,23,-4,21,1.24,26.6,19.9,6.6,0.39,16,6,5,5,22,22,0,23,1.44,23.1,23.1,0.0,0.0,0.29411764705882354,0.375,1.1176470588235294,1.375,1.3529411764705883,1.375,1.2352941176470589,1.4375,33,11,11,11,41,45,-4,44,0.3333333333333333,1.2424242424242424,1.3636363636363635,1.3333333333333333,-0.08088235294117646,-0.25735294117647056,-0.022058823529411686,-0.20220588235294112,43.3,440,1013,433,145,33.5,178,17869,3898,670,17866
2024-2025,13,Everton,17,4,8,5,22,21,1,20,1.18,19.7,20.8,-1.1,-0.07,16,4,6,6,12,19,-7,18,1.13,16.2,20.6,-4.4,-0.28,0.23529411764705882,0.25,1.2941176470588236,0.75,1.2352941176470589,1.1875,1.1764705882352942,1.125,33,8,14,11,34,40,-6,38,0.24242424242424243,1.0303030303030303,1.2121212121212122,1.1515151515151516,-0.01470588235294118,0.5441176470588236,0.047794117647058876,0.05147058823529416,40.3,421,881,352,116,33.0,257,16674,4159,635,16672
2024-2025,14,Manchester Utd,17,6,3,8,21,26,-5,21,1.24,24.9,23.9,1.0,0.06,16,4,5,7,17,20,-3,17,1.06,18.5,23.8,-5.3,-0.33,0.35294117647058826,0.25,1.2352941176470589,1.0625,1.5294117647058822,1.25,1.2352941176470589,1.0625,33,10,8,15,38,46,-8,38,0.30303030303030304,1.1515151515151516,1.393939393939394,1.1515151515151516,0.10294117647058826,0.17279411764705888,0.27941176470588225,0.17279411764705888,53.0,586,1215,436,142,32.6,231,21423,4979,810,21420
2024-2025,15,Wolves,16,5,2,9,23,29,-6,17,1.06,19.4,24.9,-5.5,-0.34,17,6,3,8,25,32,-7,21,1.24,18.6,26.7,-8.1,-0.48,0.3125,0.35294117647058826,1.4375,1.4705882352941178,1.8125,1.8823529411764706,1.0625,1.2352941176470589,33,11,5,17,48,61,-13,38,0.3333333333333333,1.4545454545454546,1.8484848484848484,1.1515151515151516,-0.04044117647058826,-0.03308823529411775,-0.06985294117647056,-0.17279411764705888,47.3,516,1010,365,138,37.8,273,18966,3999,614,18965
2024-2025,16,Tottenham,16,6,3,7,33,27,6,21,1.31,28.6,28.0,0.5,0.03,16,5,1,10,27,22,5,16,1.0,23.6,24.8,-1.1,-0.07,0.375,0.3125,2.0625,1.6875,1.6875,1.375,1.3125,1.0,32,11,4,17,60,49,11,37,0.34375,1.875,1.53125,1.15625,0.0625,0.375,0.3125,0.3125,56.6,727,1437,442,164,37.1,272,21248,5583,903,21245
2024-2025,17,West Ham,17,5,4,8,21,31,-10,19,1.12,20.8,29.5,-8.6,-0.51,16,4,5,7,16,24,-8,17,1.06,20.2,23.4,-3.2,-0.2,0.29411764705882354,0.25,1.2352941176470589,1.0,1.8235294117647058,1.5,1.1176470588235294,1.0625,33,9,9,15,37,55,-18,36,0.2727272727272727,1.121212121212121,1.6666666666666667,1.0909090909090908,0.04411764705882354,0.23529411764705888,0.32352941176470584,0.05514705882352944,47.7,544,1056,415,116,28.0,296,19568,4203,732,19565
2024-2025,18,Ipswich Town,17,1,4,12,13,40,-27,7,0.41,15.2,30.6,-15.4,-0.91,16,3,5,8,20,31,-11,14,0.88,15.2,35.9,-20.7,-1.3,0.058823529411764705,0.1875,0.7647058823529411,1.25,2.3529411764705883,1.9375,0.4117647058823529,0.875,33,4,9,20,33,71,-38,21,0.12121212121212122,1.0,2.1515151515151514,0.6363636363636364,-0.12867647058823528,-0.4852941176470589,0.4154411764705883,-0.4632352941176471,40.5,436,804,313,105,33.5,239,16588,3464,514,16586
2024-2025,19,Leicester City,17,2,3,12,11,34,-23,9,0.53,14.7,30.4,-15.8,-0.93,16,2,3,11,16,39,-23,9,0.56,13.3,34.7,-21.4,-1.34,0.11764705882352941,0.125,0.6470588235294118,1.0,2.0,2.4375,0.5294117647058824,0.5625,33,4,6,23,27,73,-46,18,0.12121212121212122,0.8181818181818182,2.212121212121212,0.5454545454545454,-0.00735294117647059,-0.3529411764705882,-0.4375,-0.03308823529411764,45.5,519,954,289,91,31.5,231,19044,3622,560,19042
2024-2025,20,Southampton,16,1,2,13,11,43,-32,5,0.31,15.9,40.0,-24.0,-1.5,17,1,3,13,13,35,-22,6,0.35,13.7,34.4,-20.7,-1.22,0.0625,0.058823529411764705,0.6875,0.7647058823529411,2.6875,2.0588235294117645,0.3125,0.35294117647058826,33,2,5,26,24,78,-54,11,0.06060606060606061,0.7272727272727273,2.3636363636363638,0.3333333333333333,0.003676470588235295,-0.07720588235294112,0.6286764705882355,-0.04044117647058826,49.8,588,1023,311,97,31.2,271,20157,4342,620,20155
